Date,Time,AirQuality,CO,Humidity,Temperature
2021-12-01,13:10:30.123099,82,50,60.00,30.80
2021-12-01,13:10:31.625994,81,51,60.00,30.80
2021-12-01,13:10:33.144931,81,50,60.00,30.80
2021-12-01,13:10:34.647942,84,48,60.00,30.80
2021-12-01,13:10:36.182688,83,47,60.00,30.80
2021-12-01,13:10:37.685559,80,49,60.00,30.80
2021-12-01,13:10:39.204601,83,48,60.00,30.80
2021-12-01,13:10:40.707564,84,50,60.00,30.80
2021-12-01,13:10:42.226536,83,50,60.00,30.80
2021-12-01,13:10:43.729491,81,51,60.00,30.80
2021-12-01,13:10:45.264272,81,49,60.00,30.80
2021-12-01,13:10:46.767209,81,50,60.00,30.80
2021-12-01,13:10:48.286269,85,48,60.00,30.80
2021-12-01,13:10:49.789181,81,50,60.00,30.80
2021-12-01,13:10:51.308156,83,50,60.00,30.80
2021-12-01,13:10:52.811091,83,46,60.00,30.80
2021-12-01,13:10:54.345951,84,49,60.00,30.80
2021-12-01,13:10:55.848859,82,51,60.00,30.80
2021-12-01,13:10:57.367805,84,49,60.00,30.80
2021-12-01,13:10:58.870797,81,50,60.00,30.80
2021-12-01,13:11:00.405441,82,50,60.00,30.80
2021-12-01,13:11:01.892583,80,50,60.00,30.80
2021-12-01,13:11:03.427335,84,46,60.00,30.80
2021-12-01,13:11:04.930287,85,48,60.00,30.70
2021-12-01,13:11:06.450416,85,46,60.00,30.70
2021-12-01,13:11:07.952226,81,49,60.00,30.80
2021-12-01,13:11:09.487095,84,46,60.00,30.80
2021-12-01,13:11:10.974178,82,50,60.00,30.80
2021-12-01,13:11:12.508910,82,50,60.00,30.80
2021-12-01,13:11:14.011881,82,47,60.00,30.80
2021-12-01,13:11:15.530858,81,50,60.00,30.80
2021-12-01,13:11:17.033819,81,49,60.00,30.80
2021-12-01,13:11:18.568675,82,50,60.00,30.80
2021-12-01,13:11:20.071544,80,50,60.00,30.80
2021-12-01,13:11:21.590498,82,50,60.00,30.80
2021-12-01,13:21:19.144135,84,46,59.00,31.30
2021-12-01,13:21:19.160092,84,50,59.00,31.30
2021-12-01,13:21:21.142672,82,46,59.00,31.30
2021-12-01,13:21:23.157361,83,45,59.00,31.30
2021-12-01,13:21:25.187915,82,50,59.00,31.30
2021-12-01,13:21:27.218487,82,50,59.00,31.30
2021-12-01,13:21:29.249124,81,49,59.00,31.30
2021-12-01,13:21:31.263771,83,46,59.00,31.30
2021-12-01,13:21:33.294408,84,50,59.00,31.30
2021-12-01,13:21:35.324937,82,50,59.00,31.30
2021-12-01,13:21:37.355555,84,50,59.00,31.30
2021-12-01,13:21:39.370351,84,47,59.00,31.30
2021-12-01,13:21:41.400933,85,50,59.00,31.30
2021-12-01,13:21:43.431466,85,48,59.00,31.30
2021-12-01,13:21:45.462115,82,46,59.00,31.30
2021-12-01,13:21:47.476960,81,47,59.00,31.30
2021-12-01,13:21:49.507515,85,48,59.00,31.30
2021-12-01,13:21:51.538093,83,50,59.00,31.30
2021-12-01,13:21:53.568762,84,46,59.00,31.30
2021-12-01,13:21:55.583641,82,50,59.00,31.30
2021-12-01,13:21:57.614371,81,47,59.00,31.30
2021-12-01,13:21:59.644952,84,51,59.00,31.30
2021-12-01,13:22:01.675564,85,48,59.00,31.30
2021-12-01,13:22:03.690437,81,48,59.00,31.30
2021-12-01,13:22:05.721306,84,51,59.00,31.30
2021-12-01,13:22:07.751871,82,50,59.00,31.30
2021-12-01,13:22:09.782551,85,50,59.00,31.20
2021-12-01,13:22:11.797386,83,46,59.00,31.20
2021-12-01,13:22:13.827978,81,49,59.00,31.20
2021-12-01,13:22:15.858613,81,49,59.00,31.20
2021-12-01,13:22:17.873442,85,48,59.00,31.20
2021-12-01,13:22:19.904101,83,51,59.00,31.20
2021-12-01,13:22:21.934808,84,51,59.00,31.20
2021-12-01,13:22:23.965602,83,48,59.00,31.20
2021-12-01,13:22:25.980349,84,51,59.00,31.20
2021-12-01,13:22:28.011018,85,47,59.00,31.20
2021-12-01,13:22:30.041633,84,46,59.00,31.20
2021-12-01,13:22:32.072283,84,46,59.00,31.20
2021-12-01,13:22:34.087067,82,50,59.00,31.20
2021-12-01,13:22:36.117683,86,49,59.00,31.20
2021-12-01,13:22:38.148379,86,48,59.00,31.20
2021-12-01,13:22:40.179069,85,46,59.00,31.20
2021-12-01,13:22:42.193812,85,51,59.00,31.20
2021-12-01,13:22:44.224459,83,50,59.00,31.20
2021-12-01,13:22:46.255060,81,49,59.00,31.20
2021-12-01,13:22:48.285717,85,51,59.00,31.10
2021-12-01,13:22:50.300549,84,51,59.00,31.10
2021-12-01,13:22:52.331035,86,48,59.00,31.10
2021-12-01,13:22:54.361683,83,47,59.00,31.10
2021-12-01,13:22:56.392258,82,49,59.00,31.10
2021-12-01,13:22:58.407027,82,48,59.00,31.10
2021-12-01,13:23:00.437669,84,47,59.00,31.10
2021-12-01,13:23:02.468284,84,46,59.00,31.10
2021-12-01,13:23:04.498789,84,46,59.00,31.10
2021-12-01,13:23:06.513798,81,48,59.00,31.10
2021-12-01,13:23:08.544270,83,51,59.00,31.10
2021-12-01,13:23:10.574740,85,46,59.00,31.10
2021-12-01,13:23:12.589468,86,49,59.00,31.10
2021-12-01,13:23:14.619853,82,49,59.00,31.10
2021-12-01,13:23:16.650293,84,51,59.00,31.10
2021-12-01,13:23:18.680706,84,51,59.00,31.10
2021-12-01,13:23:20.711148,83,48,59.00,31.10
2021-12-01,13:23:22.725771,82,50,59.00,31.10
2021-12-01,13:23:24.756328,83,51,59.00,31.10
2021-12-01,13:23:26.786794,86,51,59.00,31.10
2021-12-01,13:23:28.817424,84,47,59.00,31.10
